model,srocc_mean,srocc_std,plcc_mean,plcc_std,krocc_mean,krocc_std
NSS only,0.8976386655466332,0.0014058628299401905,0.8981315,0.0018800279,0.7253103679185834,0.0029092061964571627
SigLIP only,0.966671970444248,0.00045011747159703257,0.9685627,0.00029946433,0.8417604328503321,0.001407853405187138
CLIP-H only,0.9662173574122921,0.0009889416178184495,0.96783656,0.0014616265,0.8405119614864223,0.0022322377354188827
NSS + SigLIP,0.9695889218996513,0.0007200475917066126,0.9714443,0.00068635284,0.8489922930237315,0.0020793852651360143
NSS + CLIP-H,0.9685084472859389,0.0011388095890982667,0.9701921,0.0013115105,0.8460528300482959,0.0024774736727369434
SigLIP + CLIP-H,0.970267281277752,0.0008641016865253345,0.9720448,0.00087476196,0.8505819709360282,0.0018981683829733932
NSS + SigLIP + CLIP-H,0.97145912437327,0.0009099054577210586,0.973262,0.00072989124,0.8537711690114739,0.001725605160975865
