model,srocc,plcc,krocc
NSS only,0.6026634624598206,0.60894877,0.42296294209869784
SigLIP only,0.7811606783692354,0.81112325,0.5874515780413518
CLIP-H only,0.7402253919804123,0.7707416,0.5468104883489395
NSS + SigLIP,0.8024747880625304,0.8323656,0.6092916792067644
NSS + CLIP-H,0.7729210637126134,0.8041041,0.5789183427502771
SigLIP + CLIP-H,0.807431275928805,0.8302239,0.6121855074361212
NSS + SigLIP + CLIP-H,0.8106178815571305,0.8398699,0.619156194082861
