dataset,srocc_mean,srocc_std,plcc_mean,plcc_std,krocc_mean,krocc_std
KonIQ-10k,0.8969335937278637,0.0025572290079477174,0.9171279,0.0027069934,0.721738694580887,0.0036855787032890118
KADID-10k,0.9662823769175359,0.0011586393137541665,0.96797884,0.0008371639,0.8414004968871373,0.00202452882181508
