model,srocc_mean,srocc_std,plcc_mean,plcc_std,krocc_mean,krocc_std
SigLIP only,0.8122057266156201,0.027392646843679307,0.8466255,0.02103301,0.6233921142812193,0.02661625287025344
CLIP-H only,0.825159220239066,0.015443151049280804,0.84936494,0.0062403567,0.6374267756215495,0.01550252342242565
SigLIP + CLIP-H,0.8491928517292748,0.02023752552891515,0.8730195,0.017166764,0.6674696579358917,0.023105423996945155
NSS + SigLIP + CLIP-H,0.8526920804101324,0.021018515886204774,0.88019675,0.014766819,0.6699311725995849,0.023890089182206177
